date,score,regime
2025-02-19,0.2056858580236843,WEAK_RISK_ON_MAJORS
2025-02-20,0.3176036986612783,WEAK_RISK_ON_MAJORS
2025-02-21,0.4416671192412583,WEAK_RISK_ON_MAJORS
2025-02-22,0.13395911287241052,BALANCED
2025-02-23,0.35748842788536206,BALANCED
2025-02-24,0.10036549317182034,BALANCED
2025-02-25,0.016036742370358785,BALANCED
2025-02-26,0.15232060232944117,BALANCED
2025-02-27,0.06792602724874755,BALANCED
2025-02-28,0.43825123382292674,BALANCED
2025-03-01,0.5236973846207842,WEAK_RISK_ON_MAJORS
2025-03-02,-0.09236594073796053,BALANCED
2025-03-03,0.45666134101787076,BALANCED
2025-03-04,-0.015214100987864299,BALANCED
2025-03-05,-0.39359451333650475,BALANCED
2025-03-06,-0.03876932253930114,BALANCED
2025-03-07,-0.49160841941266814,BALANCED
2025-03-08,-0.4907327742700751,BALANCED
2025-03-09,0.05813705685089807,BALANCED
2025-03-10,-0.22623427815310382,BALANCED
2025-03-11,-0.16676342587624166,BALANCED
2025-03-12,0.38158810967137463,BALANCED
2025-03-13,0.13035762034631942,BALANCED
2025-03-14,-0.07862058910187336,BALANCED
2025-03-15,0.2557118518372656,BALANCED
2025-03-16,0.1998955167280136,BALANCED
2025-03-17,-0.014587526904882318,BALANCED
2025-03-18,0.43509364676542356,BALANCED
2025-03-19,-0.017180259789708843,BALANCED
2025-03-20,0.34289219215439254,BALANCED
2025-03-21,-0.30971959974393837,BALANCED
2025-03-22,-0.1580113347885736,BALANCED
2025-03-23,0.055347928675831964,BALANCED
2025-03-24,0.37298083122185577,BALANCED
2025-03-25,0.15683938982287499,BALANCED
2025-03-26,0.10589202944036694,BALANCED
2025-03-27,-0.01242308501130683,BALANCED
2025-03-28,0.04251087931471553,BALANCED
2025-03-29,-0.05213492812887252,BALANCED
2025-03-30,0.00522886871464396,BALANCED
2025-03-31,0.17782432157092948,BALANCED
2025-04-01,0.3683414231509727,BALANCED
2025-04-02,0.4129138932233355,BALANCED
2025-04-03,0.35882138163378946,BALANCED
2025-04-04,0.2482121691191412,BALANCED
2025-04-05,0.45655909031801345,BALANCED
2025-04-06,0.17459425453558491,BALANCED
2025-04-07,0.10317296300391686,BALANCED
2025-04-08,0.8991564868620024,WEAK_RISK_ON_MAJORS
2025-04-09,0.33479178171728624,WEAK_RISK_ON_MAJORS
2025-04-10,0.7276288367337289,WEAK_RISK_ON_MAJORS
2025-04-11,0.7896309339799104,WEAK_RISK_ON_MAJORS
2025-04-12,0.5689236987255432,WEAK_RISK_ON_MAJORS
2025-04-13,0.2940607010474778,WEAK_RISK_ON_MAJORS
2025-04-14,-0.0015948289582460437,BALANCED
2025-04-15,0.346602475693046,BALANCED
2025-04-16,0.04135448916359125,BALANCED
2025-04-17,0.2578453169315529,BALANCED
2025-04-18,0.47140244720222496,BALANCED
2025-04-19,0.3715549874154041,BALANCED
2025-04-20,0.22171568573894082,BALANCED
2025-04-21,0.17683395912307381,BALANCED
2025-04-22,0.7475573051081781,WEAK_RISK_ON_MAJORS
2025-04-23,1.1394317459067653,WEAK_RISK_ON_MAJORS
2025-04-24,0.7196025046611083,WEAK_RISK_ON_MAJORS
2025-04-25,0.8226178696025527,WEAK_RISK_ON_MAJORS
2025-04-26,0.7894218310722843,WEAK_RISK_ON_MAJORS
2025-04-27,0.452145948414097,WEAK_RISK_ON_MAJORS
2025-04-28,0.19781954079731093,BALANCED
2025-04-29,0.5786197720645356,WEAK_RISK_ON_MAJORS
2025-04-30,0.21904953502257687,WEAK_RISK_ON_MAJORS
2025-05-01,0.7837152663632738,WEAK_RISK_ON_MAJORS
2025-05-02,0.5445634618134026,WEAK_RISK_ON_MAJORS
2025-05-03,0.4909469790211726,WEAK_RISK_ON_MAJORS
2025-05-04,0.3813045616494193,WEAK_RISK_ON_MAJORS
2025-05-05,0.17283359895200992,BALANCED
2025-05-06,0.4775194570743934,BALANCED
2025-05-07,0.24535412776009996,BALANCED
2025-05-08,0.40187656303273744,BALANCED
2025-05-09,0.813432627216174,WEAK_RISK_ON_MAJORS
2025-05-10,0.3875622577542128,WEAK_RISK_ON_MAJORS
2025-05-11,0.33314024374081197,WEAK_RISK_ON_MAJORS
2025-05-12,-0.024367948549862732,BALANCED
2025-05-13,0.25349783044121504,BALANCED
2025-05-14,0.3696296953393162,BALANCED
2025-05-15,0.07114268310399476,BALANCED
2025-05-16,0.13862678273527282,BALANCED
2025-05-17,-0.048548527275528865,BALANCED
2025-05-18,0.05274993637413013,BALANCED
2025-05-19,0.4741684950263117,BALANCED
2025-05-20,0.028992195161547954,BALANCED
2025-05-21,0.22794521991622332,BALANCED
2025-05-22,0.2986210350604774,BALANCED
2025-05-23,0.6330802820373329,WEAK_RISK_ON_MAJORS
2025-05-24,-0.04095863812892735,BALANCED
2025-05-25,0.3738397758263221,BALANCED
2025-05-26,0.3123946889837579,BALANCED
2025-05-27,0.28332198261544844,BALANCED
2025-05-28,0.22153421089975125,BALANCED
2025-05-29,-0.03420942084012929,BALANCED
2025-05-30,-0.3141544908502046,BALANCED
2025-05-31,0.2370459924265319,BALANCED
2025-06-01,0.47660484653734364,BALANCED
2025-06-02,0.34449032130588064,BALANCED
2025-06-03,0.36924720584495924,BALANCED
2025-06-04,0.15085892561612893,BALANCED
2025-06-05,0.0925896665026148,BALANCED
2025-06-06,0.052698702715170125,BALANCED
2025-06-07,0.35623719262334186,BALANCED
2025-06-08,0.5632424450443372,WEAK_RISK_ON_MAJORS
2025-06-09,0.2621842580895051,WEAK_RISK_ON_MAJORS
2025-06-10,0.6291215871133407,WEAK_RISK_ON_MAJORS
2025-06-11,0.6662718371711108,WEAK_RISK_ON_MAJORS
2025-06-12,-0.10846335548945095,BALANCED
2025-06-13,-0.10239471566505165,BALANCED
2025-06-14,0.20619711117535328,BALANCED
2025-06-15,0.0353255230655828,BALANCED
2025-06-16,0.22836791791765948,BALANCED
2025-06-17,0.3474374076996398,BALANCED
2025-06-18,-0.1639382295769318,BALANCED
2025-06-19,-0.025686776986386217,BALANCED
2025-06-20,-0.3590062631823178,BALANCED
2025-06-21,-0.02360885519091648,BALANCED
2025-06-22,-0.05535016498633294,BALANCED
2025-06-23,0.19519503971385765,BALANCED
2025-06-24,1.1230861010859015,WEAK_RISK_ON_MAJORS
2025-06-25,0.5061525148838413,WEAK_RISK_ON_MAJORS
2025-06-26,-0.10273086403904928,BALANCED
2025-06-27,0.28289791193388764,BALANCED
2025-06-28,0.5772730651418803,WEAK_RISK_ON_MAJORS
2025-06-29,0.4648373521761996,WEAK_RISK_ON_MAJORS
2025-06-30,0.3681803001888123,WEAK_RISK_ON_MAJORS
2025-07-01,0.20462146790201496,WEAK_RISK_ON_MAJORS
2025-07-02,-0.06504798592495872,BALANCED
2025-07-03,0.7309093717432995,WEAK_RISK_ON_MAJORS
2025-07-04,0.05983182058774496,WEAK_RISK_ON_MAJORS
2025-07-05,-0.21128843641214387,BALANCED
2025-07-06,0.3356024126260522,BALANCED
2025-07-07,0.4537183859253195,BALANCED
2025-07-08,-0.22029427715482786,BALANCED
2025-07-09,0.20909897092744373,BALANCED
2025-07-10,0.24696451580083742,BALANCED
2025-07-11,0.45763018521211773,BALANCED
2025-07-12,0.11815080286085787,BALANCED
2025-07-13,-0.0905488164385275,BALANCED
2025-07-14,0.25468382626988656,BALANCED
2025-07-15,0.09070459919727539,BALANCED
2025-07-16,-0.05032519840956989,BALANCED
2025-07-17,-0.29557173182845264,BALANCED
