date,regime,score,pnl,cost,funding,r_ls_net,alt_turnover,major_turnover,alt_gross,major_gross,total_gross
2024-12-27,BALANCED,0.0,0.0,0.0,-0.00870677678571428,0.00870677678571428,0.0,0.0,0.0,0.0,0.0
2024-12-28,BALANCED,0.0,0.0,0.0,0.009359250000000005,-0.009359250000000005,0.0,0.0,0.0,0.0,0.0
2024-12-29,BALANCED,0.0,0.0,0.0,-0.01781773660714285,0.01781773660714285,0.0,0.0,0.0,0.0,0.0
2024-12-30,BALANCED,0.0,0.0,0.0,-0.002055468749999999,0.002055468749999999,0.0,0.0,0.0,0.0,0.0
2024-12-31,BALANCED,0.0,0.0,0.0,0.00847702666666667,-0.00847702666666667,0.0,0.0,0.0,0.0,0.0
2025-01-01,BALANCED,0.0,0.0,0.0,0.0029418666666666724,-0.0029418666666666724,0.0,0.0,0.0,0.0,0.0
2025-01-02,BALANCED,0.0,0.0,0.0,0.013916466666666676,-0.013916466666666676,0.0,0.0,0.0,0.0,0.0
2025-01-03,BALANCED,0.0,0.0,0.0,0.02173647345132744,-0.02173647345132744,0.0,0.0,0.0,0.0,0.0
2025-01-04,BALANCED,0.0,0.0,0.0,0.024342594713656393,-0.024342594713656393,0.0,0.0,0.0,0.0,0.0
2025-01-05,BALANCED,0.0,0.0,0.0,0.012867911894273134,-0.012867911894273134,0.0,0.0,0.0,0.0,0.0
2025-01-06,BALANCED,0.0,0.0,0.0,-0.017227427312775323,0.017227427312775323,0.0,0.0,0.0,0.0,0.0
2025-01-07,BALANCED,0.0,0.0,0.0,-0.015896814977973572,0.015896814977973572,0.0,0.0,0.0,0.0,0.0
2025-01-08,BALANCED,0.0,0.0,0.0,0.0001613842794759872,-0.0001613842794759872,0.0,0.0,0.0,0.0,0.0
2025-01-09,BALANCED,0.0,0.0,0.0,-0.016817504347826084,0.016817504347826084,0.0,0.0,0.0,0.0,0.0
2025-01-10,BALANCED,0.0,0.0,0.0,-0.02461853478260869,0.02461853478260869,0.0,0.0,0.0,0.0,0.0
2025-01-11,BALANCED,0.0,0.0,0.0,-0.0019149913043478195,0.0019149913043478195,0.0,0.0,0.0,0.0,0.0
2025-01-12,BALANCED,0.0,0.0,0.0,-0.0228876,0.0228876,0.0,0.0,0.0,0.0,0.0
2025-01-13,BALANCED,0.0,0.0,0.0,-0.01582069565217391,0.01582069565217391,0.0,0.0,0.0,0.0,0.0
2025-01-14,BALANCED,0.0,0.0,0.0,-0.020404852173913045,0.020404852173913045,0.0,0.0,0.0,0.0,0.0
2025-01-15,BALANCED,0.0,0.0,0.0,0.007173508695652175,-0.007173508695652175,0.0,0.0,0.0,0.0,0.0
2025-01-16,BALANCED,0.0,0.0,0.0,0.01833548051948053,-0.01833548051948053,0.0,0.0,0.0,0.0,0.0
2025-01-17,BALANCED,0.0,0.0,0.0,0.015146625000000004,-0.015146625000000004,0.0,0.0,0.0,0.0,0.0
2025-01-18,BALANCED,0.0,0.0,0.0,-0.019208497854077248,0.019208497854077248,0.0,0.0,0.0,0.0,0.0
2025-01-20,BALANCED,0.0,0.0,0.0,0.021548243589743596,-0.021548243589743596,0.0,0.0,0.0,0.0,0.0
2025-01-21,BALANCED,0.0,0.0,0.0,0.020443455319148943,-0.020443455319148943,0.0,0.0,0.0,0.0,0.0
2025-01-22,BALANCED,0.0,0.0,0.0,0.025356906382978727,-0.025356906382978727,0.0,0.0,0.0,0.0,0.0
2025-01-23,BALANCED,0.0,0.0,0.0,-0.004118288135593214,0.004118288135593214,0.0,0.0,0.0,0.0,0.0
2025-01-24,BALANCED,0.0,0.0,0.0,-0.0239688860759494,0.0239688860759494,0.0,0.0,0.0,0.0,0.0
2025-01-25,BALANCED,0.0,0.0,0.0,-0.021026259414225937,0.021026259414225937,0.0,0.0,0.0,0.0,0.0
2025-01-26,BALANCED,0.0,0.0,0.0,-0.020999146443514638,0.020999146443514638,0.0,0.0,0.0,0.0,0.0
2025-01-27,BALANCED,0.0,0.0,0.0,-0.03574889121338913,0.03574889121338913,0.0,0.0,0.0,0.0,0.0
2025-01-28,BALANCED,0.0,0.0,0.0,-0.02357411297071149,0.02357411297071149,0.0,0.0,0.0,0.0,0.0
2025-01-29,BALANCED,0.0,0.0,0.0,-0.00859040585774058,0.00859040585774058,0.0,0.0,0.0,0.0,0.0
2025-01-30,BALANCED,0.0,0.0,0.0,-0.0034581374999999985,0.0034581374999999985,0.0,0.0,0.0,0.0,0.0
2025-01-31,BALANCED,0.0,0.0,0.0,0.006645900000000003,-0.006645900000000003,0.0,0.0,0.0,0.0,0.0
2025-02-01,BALANCED,0.0,0.0,0.0,-0.0020724374999999905,0.0020724374999999905,0.0,0.0,0.0,0.0,0.0
2025-02-02,BALANCED,0.0,0.0,0.0,-0.032427475000000004,0.032427475000000004,0.0,0.0,0.0,0.0,0.0
2025-02-03,BALANCED,0.0,0.0,0.0,-0.018475512499999996,0.018475512499999996,0.0,0.0,0.0,0.0,0.0
2025-02-04,BALANCED,0.0,0.0,0.0,-0.008841462499999996,0.008841462499999996,0.0,0.0,0.0,0.0,0.0
2025-02-05,BALANCED,0.0,0.0,0.0,-0.033944387500000055,0.033944387500000055,0.0,0.0,0.0,0.0,0.0
2025-02-06,BALANCED,0.0,0.0,0.0,-0.0181960875,0.0181960875,0.0,0.0,0.0,0.0,0.0
2025-02-07,BALANCED,0.0,0.0,0.0,-0.04366061825726143,0.04366061825726143,0.0,0.0,0.0,0.0,0.0
2025-02-08,BALANCED,0.46385037757908626,0.0,0.0,-0.021712593360995847,0.021712593360995847,0.0,0.0,0.0,0.0,0.0
2025-02-09,WEAK_RISK_ON_MAJORS,0.5791358561571571,0.0,0.0003,-0.03363634854771784,0.03333634854771784,0.19999999999999998,0.39999999999999997,0.19999999999999998,0.39999999999999997,0.6
2025-02-10,WEAK_RISK_ON_MAJORS,0.7236139433831439,-0.0026176256471045476,0.000016518298406699646,-0.021457232365145226,0.01882308841963398,0.033036596813399294,0.0,0.2,0.39999999999999997,0.6
2025-02-11,WEAK_RISK_ON_MAJORS,0.769931922107012,0.005304933620089786,0.000023463116695801763,-0.024334282157676364,0.029615752661070346,0.046926233391603525,0.0,0.2,0.39999999999999997,0.6
2025-02-12,WEAK_RISK_ON_MAJORS,0.5386998595432341,-0.0032581957392737396,0.000016457763430297507,-0.05527252066115703,0.05199786715845299,0.03291552686059501,0.0,0.19999999999999998,0.39999999999999997,0.6
2025-02-13,WEAK_RISK_ON_MAJORS,1.125738120861037,0.008880705151198886,0.0003,-0.0012458677685950386,0.009826572919793924,0.19999999999999998,0.39999999999999997,0.0,0.0,0.0
2025-02-14,WEAK_RISK_ON_MAJORS,0.4895565059784678,0.0,0.0003,-0.03332435655737708,0.03302435655737708,0.19999999999999998,0.39999999999999997,0.19999999999999998,0.39999999999999997,0.6
2025-02-15,WEAK_RISK_ON_MAJORS,0.8710060606337071,0.006612203534426823,0.00004703985482506891,0.003793131147540985,0.002772032532060769,0.09407970965013783,0.0,0.19999999999999998,0.39999999999999997,0.6
2025-02-16,BALANCED,0.07275481954604554,-0.007464203564035331,0.0003,-0.017477200819672127,0.009712997255636797,0.19999999999999998,0.39999999999999997,0.0,0.0,0.0
2025-02-17,BALANCED,0.05027687941029632,0.0,0.0,-0.06440234016393447,0.06440234016393447,0.0,0.0,0.0,0.0,0.0
2025-02-18,BALANCED,0.23445649336415092,0.0,0.0,-0.05017726229508205,0.05017726229508205,0.0,0.0,0.0,0.0,0.0
2025-02-19,WEAK_RISK_ON_MAJORS,0.5289436017058483,0.0,0.0003,-0.027577401639344287,0.027277401639344286,0.19999999999999998,0.39999999999999997,0.19999999999999998,0.39999999999999997,0.6
2025-02-20,WEAK_RISK_ON_MAJORS,0.47989309494185317,0.005918354518289757,0.0000258930211220097,-0.03646909426229508,0.04236155575946283,0.0517860422440194,0.0,0.19999999999999998,0.39999999999999997,0.6
2025-02-21,WEAK_RISK_ON_MAJORS,0.5076678877599171,0.011065582484863133,3.008600985535853e-6,-0.001836587755102034,0.01289916163897963,0.0060172019710717055,0.0,0.19999999999999998,0.39999999999999997,0.6
2025-02-22,BALANCED,0.02487876909806926,-0.011075069760711341,0.0003,-0.019324151020408173,0.007949081259696832,0.19999999999999998,0.39999999999999997,0.0,0.0,0.0
2025-02-23,WEAK_RISK_ON_MAJORS,0.6825487814793054,0.0,0.0003,-0.023938004081632703,0.0236380040816327,0.19999999999999998,0.39999999999999997,0.19999999999999998,0.39999999999999997,0.6
2025-02-24,BALANCED,-0.27456472393529785,-0.0010223098731172002,0.0003,-0.03117275510204082,0.02985044522892362,0.19999999999999998,0.39999999999999997,0.0,0.0,0.0
2025-02-25,WEAK_RISK_ON_MAJORS,0.5209266118151042,0.0,0.0003,-0.026398812244897957,0.026098812244897955,0.2,0.39999999999999997,0.2,0.39999999999999997,0.6
2025-02-26,BALANCED,0.06376654150007961,-0.0046413294669180845,0.0003,-0.014184697959183677,0.009243368492265591,0.2,0.39999999999999997,0.0,0.0,0.0
2025-02-27,BALANCED,0.03259439557527774,0.0,0.0,0.006696355102040821,-0.006696355102040821,0.0,0.0,0.0,0.0,0.0
2025-02-28,BALANCED,0.4646163375242153,0.0,0.0,0.0004420530612244919,-0.0004420530612244919,0.0,0.0,0.0,0.0,0.0
2025-03-01,WEAK_RISK_ON_MAJORS,0.5035419760084732,0.0,0.0003,0.013227171428571435,-0.013527171428571435,0.19999999999999998,0.39999999999999997,0.19999999999999998,0.39999999999999997,0.6
2025-03-02,WEAK_RISK_ON_MAJORS,0.2812928425127803,0.007117639871164856,4.6076371041925014e-6,0.0023840571428571434,0.00472897509120352,0.009215274208385003,0.0,0.19999999999999998,0.39999999999999997,0.6
2025-03-03,WEAK_RISK_ON_MAJORS,0.31812988158481104,0.04427519156482294,0.00003141140135436374,0.01779411428571429,0.026449665877754287,0.06282280270872748,0.0,0.19999999999999998,0.39999999999999997,0.6
2025-03-04,BALANCED,-0.07227880579820971,-0.03960602396433793,0.0003,-0.032017836734693876,-0.007888187229644059,0.19999999999999998,0.39999999999999997,0.0,0.0,0.0
2025-03-05,WEAK_RISK_ON_MAJORS,1.338721171358288,0.0,0.0003,-0.004879469387755101,0.004579469387755101,0.19999999999999998,0.39999999999999997,0.19999999999999998,0.39999999999999997,0.6
2025-03-06,WEAK_RISK_ON_MAJORS,0.35323948107173436,0.01807424620198441,0.000010394930205225016,-0.009002179591836733,0.02706603086361592,0.020789860410450032,0.0,0.19999999999999996,0.39999999999999997,0.5999999999999999
2025-03-07,BALANCED,-0.16963864759743547,-0.0024747412737583553,0.0002999999999999999,-0.012214646341463416,0.00943990506770506,0.19999999999999996,0.39999999999999997,0.0,0.0,0.0
2025-03-08,BALANCED,-0.21349009710765365,0.0,0.0,-0.006852499999999999,0.006852499999999999,0.0,0.0,0.0,0.0,0.0
2025-03-09,BALANCED,-0.16667970043261435,0.0,0.0,-0.016021719512195116,0.016021719512195116,0.0,0.0,0.0,0.0,0.0
2025-03-10,BALANCED,-0.2660197635093848,0.0,0.0,-0.04091842682926832,0.04091842682926832,0.0,0.0,0.0,0.0,0.0
2025-03-11,BALANCED,0.052194100800527915,0.0,0.0,-0.05853457317073171,0.05853457317073171,0.0,0.0,0.0,0.0,0.0
2025-03-12,BALANCED,0.49259757128318005,0.0,0.0,-0.020616097560975613,0.020616097560975613,0.0,0.0,0.0,0.0,0.0
2025-03-13,BALANCED,0.3492911753347327,0.0,0.0,-0.0047970243902439,0.0047970243902439,0.0,0.0,0.0,0.0,0.0
2025-03-14,WEAK_RISK_ON_MAJORS,1.048989057375,0.0,0.0003,-0.010499353658536584,0.010199353658536584,0.19999999999999998,0.39999999999999997,0.19999999999999998,0.39999999999999997,0.6
2025-03-15,WEAK_RISK_ON_MAJORS,0.6260030681461759,0.010475696384297064,6.7286310505506375e-6,-0.033526890243902444,0.04399585799714896,0.013457262101101274,0.0,0.19999999999999998,0.39999999999999997,0.6
2025-03-16,WEAK_RISK_ON_MAJORS,0.24671380956056266,0.002752201647513536,2.8775726475939545e-6,-0.025242487804878047,0.027991811879743988,0.0057551452951879085,0.0,0.19999999999999998,0.39999999999999997,0.6
2025-03-17,BALANCED,-0.275256558457485,-0.007523301514127024,0.0003,-0.027832012195121943,0.02000871068099492,0.19999999999999998,0.39999999999999997,0.0,0.0,0.0
2025-03-18,WEAK_RISK_ON_MAJORS,0.5683331365294031,0.0,0.0003,-0.030256817073170773,0.02995681707317077,0.2,0.39999999999999997,0.2,0.39999999999999997,0.6
2025-03-19,BALANCED,0.09706958886848097,-0.00492647525754072,0.0003,-0.021777548780487807,0.016551073522947088,0.2,0.39999999999999997,0.0,0.0,0.0
2025-03-20,WEAK_RISK_ON_MAJORS,1.2260850483479269,0.0,0.0003,-0.008863190283400806,0.008563190283400806,0.2,0.39999999999999997,0.2,0.39999999999999997,0.6
2025-03-21,BALANCED,-0.19152423499325105,-0.009836684931058,0.0003,-0.02178371659919032,0.01164703166813232,0.2,0.39999999999999997,0.0,0.0,0.0
2025-03-22,BALANCED,-0.1075487952992627,0.0,0.0,-0.04238970967741935,0.04238970967741935,0.0,0.0,0.0,0.0,0.0
2025-03-24,BALANCED,0.29557581992757564,0.0,0.0,-0.013693835999999994,0.013693835999999994,0.0,0.0,0.0,0.0,0.0
2025-03-25,BALANCED,0.31533485145395584,0.0,0.0,-0.003232331999999992,0.003232331999999992,0.0,0.0,0.0,0.0,0.0
2025-03-26,BALANCED,0.33285793534240593,0.0,0.0,-0.009392652,0.009392652,0.0,0.0,0.0,0.0,0.0
2025-03-27,BALANCED,-0.2693075287272319,0.0,0.0,-0.014110039840637446,0.014110039840637446,0.0,0.0,0.0,0.0,0.0
2025-03-28,BALANCED,-0.4224761675954618,0.0,0.0,-0.04394678656126483,0.04394678656126483,0.0,0.0,0.0,0.0,0.0
2025-03-29,BALANCED,-0.4116837320392968,0.0,0.0,-0.027456,0.027456,0.0,0.0,0.0,0.0,0.0
2025-03-30,BALANCED,-0.3751084700853024,0.0,0.0,-0.023167114624505925,0.023167114624505925,0.0,0.0,0.0,0.0,0.0
2025-03-31,BALANCED,0.03445027819600769,0.0,0.0,-0.015989347826086953,0.015989347826086953,0.0,0.0,0.0,0.0,0.0
2025-04-01,BALANCED,0.42621492703280217,0.0,0.0,-0.00978751181102362,0.00978751181102362,0.0,0.0,0.0,0.0,0.0
2025-04-02,BALANCED,-0.012519223994515022,0.0,0.0,-0.009856830708661418,0.009856830708661418,0.0,0.0,0.0,0.0,0.0
2025-04-03,BALANCED,0.2522805975693804,0.0,0.0,-0.0383439294117647,0.0383439294117647,0.0,0.0,0.0,0.0,0.0
2025-04-04,BALANCED,0.11898987195951943,0.0,0.0,-0.006180035294117644,0.006180035294117644,0.0,0.0,0.0,0.0,0.0
