signal,period,active_share,n,CAGR,AnnVol,Sharpe,Sortino,MaxDD,Calmar,WorstDay,Skew
U2_control_price_down_1sd_long,IS,0.9060150375939849,1064,-0.01843990477291957,0.1838160927102877,-0.009009246415624925,-0.01085874299827082,-0.4583580577124341,-0.04023034931457111,-0.07755415580784775,-0.6426347295373238
U2_control_price_down_1sd_long,OOS,0.9827935222672065,988,-0.2555157506524881,0.19757481275750843,-1.3940631232403309,-1.9955909703173635,-0.5599275136069874,-0.4563371944459124,-0.05365220929214526,0.04498866872809783
O1_price_up_OI_up,ALL,0.9692832764505119,2051,0.0473127932462003,0.21792980832636433,0.3204216664911075,0.5145189900942256,-0.5238411378982737,0.09031897234345905,-0.05513669701470824,0.7923534828618848
O1_price_up_OI_up,IS,0.9576669802445907,1063,0.039379412503839584,0.20625324574064763,0.29008649115936824,0.42658396006812305,-0.44352624117587924,0.08878710851343692,-0.04746740335409752,0.32192073957146655
O1_price_up_OI_up,OOS,0.9817813765182186,988,0.05591604082710311,0.22993537299178402,0.3504747980175143,0.6145502029402908,-0.3232571939866199,0.17297694178901263,-0.05513669701470824,1.1511602721494418
O2_price_up_OI_down,ALL,0.11988304093567251,2052,-0.014154977834188065,0.04962005179191058,-0.2627407088477252,-0.1358619651894642,-0.14681575530285318,-0.09641320718603408,-0.03937641131642242,5.975676996223414
O2_price_up_OI_down,IS,0.09774436090225563,1064,-0.016437342669335164,0.041031355865409846,-0.3835824497460928,-0.1887439750592184,-0.12367368815158886,-0.13290897130186372,-0.024478293756017556,5.54991186362755
O2_price_up_OI_down,OOS,0.1437246963562753,988,-0.01169112310097764,0.05747284547753512,-0.1762168545722861,-0.09578573166977321,-0.06393248488859826,-0.18286670886247125,-0.03937641131642242,5.820504138957072
O3_price_down_OI_up,ALL,0.30934065934065935,1820,-0.05899353868343604,0.07136723711328509,-0.8161870395373787,-0.5592078930565083,-0.34229585648080885,-0.17234663396149982,-0.046320935201070744,-0.7190405645579775
O3_price_down_OI_up,IS,0.28846153846153844,832,-0.028626565458534592,0.07130005508405388,-0.37152936978928136,-0.21655067248993995,-0.13876742938545195,-0.2062916751092871,-0.04089997209777084,-2.089305075041907
O3_price_down_OI_up,OOS,0.3269230769230769,988,-0.08382818229667621,0.07142983732573338,-1.189886406635764,-0.9293713431635624,-0.24766434802129966,-0.3384749681026629,-0.046320935201070744,0.4261597807396793
O4_price_down_OI_down,ALL,0.8314606741573034,2047,-0.10150163353758102,0.17330166670396735,-0.5308478032532731,-0.6711393972035964,-0.5648638047472809,-0.17969222436369892,-0.07761444895073834,0.024594205833972423
O4_price_down_OI_down,IS,0.7790368271954674,1059,-0.021232770299777104,0.16202005437435818,-0.051077370195806826,-0.05676883697718912,-0.3951958229294993,-0.05372721336572657,-0.07761444895073834,-0.8843926597789397
O4_price_down_OI_down,OOS,0.8876518218623481,988,-0.1802439969092534,0.1845976860192446,-0.9844894019824766,-1.4095772864975544,-0.42378656695269556,-0.42531786272822764,-0.055941111774563526,0.7008553224136352
X1_crowded_long_reversal,ALL,0.10069444444444445,2016,-0.06752243184568818,0.05034618514436383,-1.3629421067342677,-0.45541127230992556,-0.33380578942627626,-0.20228058944616076,-0.046839376758224825,-7.681844042989853
