ts,asset,funding_received,premium_gain,cost,net,cluster
2021-08-21,BLZUSDT,0.00524077,0.0007504,0.012,-0.006008830000000001,2021-08
2023-12-28,BLZUSDT,0.00934539,0.00094957,0.012,-0.0017050399999999997,2023-12
2024-01-02,BLZUSDT,0.00249556,0.00010108999999999997,0.012,-0.009403350000000001,2024-01
2024-03-04,BLZUSDT,0.01335538,-0.00049473,0.02,-0.007139350000000001,2024-03
2024-03-09,BLZUSDT,0.013793080000000003,0.00043512999999999994,0.02,-0.005771789999999997,2024-03
2020-12-20,BNBUSDT,0.00240664,-0.00027689999999999995,0.012,-0.00987026,2020-12
2021-01-03,BNBUSDT,0.02326411,0.0005550399999999999,0.012,0.01181915,2021-01
2023-10-26,BNBUSDT,0.00139332,0.00016819000000000003,0.008,-0.00643849,2023-10
2023-12-04,BNBUSDT,0.00429977,0.00012498,0.008,-0.0035752500000000003,2023-12
2023-11-11,BNXUSDT,0.00314417,-0.00034542000000000004,0.02,-0.01720125,2023-11
2024-11-29,BOMEUSDT,0.0060865599999999995,7.583999999999998e-05,0.008,-0.0018376000000000009,2024-11
2024-02-27,BONDUSDT,0.01511343,-0.00044286,0.02,-0.00532943,2024-02
2024-03-03,BONDUSDT,0.012248789999999999,-0.00022316999999999997,0.02,-0.007974380000000001,2024-03
2024-10-30,BONDUSDT,0.0030234100000000002,0.00095013,0.02,-0.01602646,2024-10
2024-11-30,BONDUSDT,0.01321858,0.0,0.02,-0.00678142,2024-11
2024-12-05,BONDUSDT,0.014998510000000001,-0.00273999,0.02,-0.0077414799999999985,2024-12
2024-09-19,BRETTUSDT,0.0016882700000000002,0.00025364000000000007,0.02,-0.01805809,2024-09
2024-09-24,BRETTUSDT,0.0033762799999999997,0.00048405,0.02,-0.016139670000000002,2024-09
2024-09-29,BRETTUSDT,0.0015194999999999998,0.0,0.02,-0.0184805,2024-09
2024-10-11,BRETTUSDT,0.00640424,0.00053833,0.02,-0.01305743,2024-10
2024-11-07,BRETTUSDT,0.01180033,0.0005415099999999999,0.02,-0.007658160000000001,2024-11
2024-11-12,BRETTUSDT,0.00834042,-0.0011520700000000003,0.02,-0.01281165,2024-11
2024-11-17,BRETTUSDT,0.0050629,0.00197836,0.02,-0.01295874,2024-11
2024-12-01,BRETTUSDT,0.016458260000000002,0.0015346699999999997,0.012,0.0059929300000000005,2024-12
2024-12-06,BRETTUSDT,0.0054813,0.0011040400000000001,0.012,-0.00541466,2024-12
2025-05-12,BRETTUSDT,0.0016509899999999997,-3.469e-05,0.02,-0.0183837,2025-05
2025-04-20,BROCCOLIF3BUSDT,0.01719432,0.0,0.012,0.005194319999999999,2025-04
2025-05-11,BRUSDT,0.00266365,0.00071819,0.02,-0.01661816,2025-05
2026-05-04,BRUSDT,0.0052688000000000006,0.00343635,0.02,-0.01129485,2026-05
2026-04-25,BSBUSDT,0.009106590000000001,0.00048467,0.012,-0.0024087399999999995,2026-04
2026-05-23,BSBUSDT,0.0061951,-0.0003956700000000001,0.008,-0.00220057,2026-05
2023-12-14,BSVUSDT,0.005130300000000001,0.00072114,0.02,-0.01414856,2023-12
2023-12-21,BSVUSDT,0.009364009999999999,0.00025891,0.02,-0.010377080000000002,2023-12
2023-12-26,BSVUSDT,0.00372156,0.00046342,0.02,-0.01581502,2023-12
2024-02-26,BSVUSDT,0.011838119999999999,0.00265488,0.02,-0.0055070000000000015,2024-02
2024-11-09,BSVUSDT,0.0077477,0.0002242,0.02,-0.0120281,2024-11
2024-11-14,BSVUSDT,0.005360070000000001,-0.00041629,0.02,-0.015056219999999999,2024-11
2024-11-19,BSVUSDT,0.0036096,-0.00087532,0.02,-0.01726572,2024-11
2024-11-24,BSVUSDT,0.0076126300000000004,0.0002602799999999999,0.02,-0.01212709,2024-11
2024-11-29,BSVUSDT,0.00803074,-0.00013765,0.02,-0.01210691,2024-11
2024-12-04,BSVUSDT,0.00968392,0.00229846,0.012,-1.761999999999944e-05,2024-12
