date,open,high,low,close,volume,return,cum_return
2020-06-19,9386.32,9438.3,9215.79,9310.23,45330.983673,-0.008106478364257819,-0.5126212789213652
2020-06-20,9310.23,9395.0,9170.95,9358.95,30329.065384,0.005232953428647935,-0.5100708487718467
2020-06-21,9358.95,9422.0,9281.54,9294.69,24316.926234,-0.006866154857115392,-0.5134347781931943
2020-06-22,9294.69,9780.0,9277.09,9685.69,57895.468343,0.04206702966962861,-0.49296642457123796
2020-06-23,9685.69,9720.0,9577.03,9624.89,41031.02938,-0.006277301875240782,-0.49614922738508693
2020-06-24,9624.33,9670.0,9208.0,9296.49,61571.561464,-0.03411987046085718,-0.5133405504783106
2020-06-25,9298.33,9340.0,9009.69,9249.49,55831.619156,-0.005055671549154539,-0.5158009408113846
2020-06-26,9249.49,9298.0,9045.45,9162.21,50292.298277,-0.009436195941614156,-0.5203699380086335
2020-06-27,9162.21,9196.24,8833.0,9012.0,46290.930113,-0.01639451617022525,-0.5282332408156771
2020-06-28,9012.0,9191.0,8948.06,9116.35,30688.176421,0.011579005770084416,-0.5227706507889479
2020-06-29,9116.16,9238.0,9024.67,9192.56,42120.293261,0.008359705364537229,-0.5187811540382337
2020-06-30,9192.93,9205.0,9064.89,9138.55,31463.162801,-0.005875403587248806,-0.5216085089720491
2020-07-01,9138.08,9292.0,9080.1,9232.0,38488.528699,0.010225911112813346,-0.5167165201076711
2020-07-02,9231.99,9261.96,8940.0,9086.54,45725.168076,-0.01575606585788547,-0.5243311664448826
2020-07-03,9086.54,9125.0,9037.47,9058.26,28943.420177,-0.0031122957693467956,-0.5258115885431663
2020-07-04,9057.79,9190.0,9040.04,9135.46,26441.968484,0.00852260809471117,-0.5217702665492661
2020-07-05,9135.0,9145.24,8893.03,9069.41,34073.653627,-0.007230068327155892,-0.5252279001981925
2020-07-06,9069.41,9375.0,9055.92,9344.2,54463.132277,0.03029855304810347,-0.5108429925465879
2020-07-07,9342.47,9379.42,9203.0,9257.39,34587.336678,-0.009290254917489027,-0.5153873858405063
2020-07-08,9257.4,9470.0,9231.0,9436.06,56140.517781,0.019300256335749166,-0.5060342381636904
2020-07-09,9436.06,9440.79,9160.0,9232.43,48044.450645,-0.021579981475319032,-0.5166940101535599
2020-07-10,9232.42,9317.48,9125.0,9288.34,38295.494006,0.006055827122436908,-0.5137671926318116
2020-07-11,9288.34,9299.28,9178.25,9234.03,22561.366,-0.00584711584631914,-0.5166102521847744
2020-07-12,9234.02,9345.0,9157.5,9302.75,30872.702286,0.007442037766825393,-0.5130128474254372
2020-07-13,9303.31,9343.82,9200.89,9242.62,42740.069115,-0.006463680094595636,-0.5161605765898573
2020-07-14,9242.61,9279.54,9113.0,9255.85,45772.552509,0.0014314123051688554,-0.5154680028854621
2020-07-15,9255.85,9276.49,9160.57,9197.6,39053.579665,-0.006293317199392856,-0.5185173164365593
2020-07-16,9197.6,9226.15,9047.25,9133.72,43375.571191,-0.006945290075672017,-0.5218613533403205
2020-07-17,9133.72,9186.83,9089.81,9154.32,28054.358741,0.0022553789693575688,-0.520782969492207
2020-07-18,9154.31,9219.3,9121.1,9170.28,22554.541457,0.0017434391631492296,-0.5199474837535718
2020-07-19,9170.3,9232.27,9101.35,9208.99,26052.019417,0.00422124515281963,-0.5179210643962677
2020-07-20,9208.99,9221.52,9131.0,9160.78,35458.764082,-0.005235101786406404,-0.5204447966932357
2020-07-21,9160.78,9437.73,9152.8,9390.0,60413.582486,0.02502188678256645,-0.5084454206901032
2020-07-22,9390.0,9544.0,9261.0,9518.16,48815.004107,0.013648562300319522,-0.5017364073903847
2020-07-23,9518.16,9664.0,9440.33,9603.27,51856.2335,0.00894185430797556,-0.497281006938301
2020-07-24,9603.27,9637.0,9463.44,9537.8,43931.136205,-0.006817469466129933,-0.5007082783235428
2020-07-25,9538.1,9732.9,9513.0,9700.42,40679.545416,0.01705005347145061,-0.49219532777110653
2020-07-26,9700.42,10111.0,9650.0,9931.54,65279.269319,0.023825772492325203,-0.4800964891800411
2020-07-27,9931.54,11394.86,9917.21,11029.96,150188.933144,0.11059916186210783,-0.42259559663418633
2020-07-28,11029.96,11242.23,10565.0,10906.27,97267.734187,-0.011214002589311156,-0.4290706111086102
2020-07-29,10906.27,11342.82,10812.0,11100.53,76838.094233,0.017811772494170874,-0.4189013467234408
2020-07-30,11100.52,11170.0,10831.0,11099.61,60794.826456,-8.287892560088217e-05,-0.41894950755549254
2020-07-31,11099.79,11444.0,10960.0,11335.46,70063.660974,0.021248494316466804,-0.40660305946920516
2020-08-01,11335.46,11861.0,11220.0,11801.17,85087.485126,0.04108434946618855,-0.3822237321922709
