symbol,coingecko_id,venue,cg_lc,dim_asset_id,in_dim_asset,in_fact_price
WSTETH,superbridge-bridged-wsteth-base,BINANCE,superbridge-bridged-wsteth-base,,False,False
BBSOL,bybit-staked-sol,BINANCE,bybit-staked-sol,,False,False
QRL,quantum-resistant-ledger,BINANCE,quantum-resistant-ledger,,False,False
WAETHUSDC,wrapped-aave-ethereum-usdc,BINANCE,wrapped-aave-ethereum-usdc,,False,False
DSOL,drift-staked-sol,BINANCE,drift-staked-sol,,False,False
USDA,usda-2,BINANCE,usda-2,,False,False
FF,falcon-finance-ff,BINANCE,falcon-finance-ff,,False,False
AUSD,agora-dollar,BINANCE,agora-dollar,,False,False
LUNC,terra-luna,BINANCE,terra-luna,,False,False
XEC,ecash,BINANCE,ecash,,False,False
WFI,wefi,BINANCE,wefi,,False,False
LION,loaded-lions,BINANCE,loaded-lions,,False,False
BCAP,blockchain-capital,BINANCE,blockchain-capital,,False,False
WBTC,polygon-bridged-wbtc-polygon-pos,BINANCE,polygon-bridged-wbtc-polygon-pos,,False,False
SDAI,savings-dai,BINANCE,savings-dai,,False,False
GLM,golem,BINANCE,golem,,False,False
CHEEMS,cheems-token,BINANCE,cheems-token,,False,False
FLUID,instadapp,BINANCE,instadapp,,False,False
VSOL,the-vault-staked-sol,BINANCE,the-vault-staked-sol,,False,False
IMX,immutable-x,BINANCE,immutable-x,,False,False
WAVAX,wrapped-avax,BINANCE,wrapped-avax,,False,False
TETH,treehouse-eth,BINANCE,treehouse-eth,,False,False
RUNE,thorchain,BINANCE,thorchain,,False,False
EIGEN,eigenlayer,BINANCE,eigenlayer,,False,False
LGCT,legacy-token,BINANCE,legacy-token,,False,False
SENA,ethena-staked-ena,BINANCE,ethena-staked-ena,,False,False
PC0000031,tradable-na-rent-financing-platform-sstn,BINANCE,tradable-na-rent-financing-platform-sstn,,False,False
KMNO,kamino,BINANCE,kamino,,False,False
APE,apecoin,BINANCE,apecoin,,False,False
MX,mx-token,BINANCE,mx-token,,False,False
IUSD,infinifi-usd,BINANCE,infinifi-usd,,False,False
SRUSDE,strata-senior-usde,BINANCE,strata-senior-usde,,False,False
STCUSD,staked-cap-usd,BINANCE,staked-cap-usd,,False,False
WAL,walrus-2,BINANCE,walrus-2,,False,False
BARD,lombard-protocol,BINANCE,lombard-protocol,,False,False
TRAC,origintrail,BINANCE,origintrail,,False,False
W,wormhole,BINANCE,wormhole,,False,False
USDC,cronos-bridged-usdc-cronos,BINANCE,cronos-bridged-usdc-cronos,,False,False
EGLD,elrond-erd-2,BINANCE,elrond-erd-2,,False,False
WAETHUSDT,wrapped-aave-ethereum-usdt,BINANCE,wrapped-aave-ethereum-usdt,,False,False
UCN,uchain-2,BINANCE,uchain-2,,False,False
XSOLVBTC,solv-protocol-solvbtc-bbn,BINANCE,solv-protocol-solvbtc-bbn,,False,False
WEMIX,wemix-token,BINANCE,wemix-token,,False,False
TIBBIR,ribbita-by-virtuals,BINANCE,ribbita-by-virtuals,,False,False
SFRXETH,staked-frax-ether,BINANCE,staked-frax-ether,,False,False
USDF,astherus-usdf,BINANCE,astherus-usdf,,False,False
XCN,chain-2,BINANCE,chain-2,,False,False
KITE,kite-2,BINANCE,kite-2,,False,False
CVX,convex-finance,BINANCE,convex-finance,,False,False
JTO,jito-governance-token,BINANCE,jito-governance-token,,False,False
THBILL,theo-short-duration-us-treasury-fund,BINANCE,theo-short-duration-us-treasury-fund,,False,False
KBTC,kraken-wrapped-btc,BINANCE,kraken-wrapped-btc,,False,False
KOGE,bnb48-club-token,BINANCE,bnb48-club-token,,False,False
RSR,reserve-rights-token,BINANCE,reserve-rights-token,,False,False
WYLDS,hastra-wrapped-ylds,BINANCE,hastra-wrapped-ylds,,False,False
ZEN,zencash,BINANCE,zencash,,False,False
PROM,prometeus,BINANCE,prometeus,,False,False
PRIME,hastra-prime,BINANCE,hastra-prime,,False,False
SATUSD,satoshi-stablecoin,BINANCE,satoshi-stablecoin,,False,False
JSOL,jpool,BINANCE,jpool,,False,False
DUSD,standx-dusd,BINANCE,standx-dusd,,False,False
FXRP,flare-bridged-xrp-flare,BINANCE,flare-bridged-xrp-flare,,False,False
USTBL,spiko-us-t-bills-money-market-fund,BINANCE,spiko-us-t-bills-money-market-fund,,False,False
SFP,safepal,BINANCE,safepal,,False,False
SOSO,sosovalue,BINANCE,sosovalue,,False,False
ATH,aethir,BINANCE,aethir,,False,False
SNX,havven,BINANCE,havven,,False,False
