symbol,n_variants,canonical_slug,canonical_mcap_usd,canonical_rank,all_variants,source
LUNC,2,terra-luna,276927068,148,"['terra-luna', 'wrapped-terra']",fms_latest
MET,2,meteora,83937008,321,"['meteora', 'metronome']",fms_latest
META,2,meta-2-2,55515617,451,"['meta-2-2', 'metadium']",fms_latest
METH,2,mantle-staked-ether,858673696,107,"['mantle-staked-ether', 'manta-meth']",fms_historical
MIM,2,magic-internet-money-runes,8640391,1299,"['magic-internet-money', 'magic-internet-money-runes']",fms_latest
MITO,2,mitosis,12935304,1052,"['mito', 'mitosis']",fms_latest
MNT,2,mantle,2122074184,42,"['mantle', 'mynth']",fms_latest
MON,2,monad,363405065,122,"['monad', 'mon-protocol']",fms_latest
MOODENG,2,moo-deng,58641126,431,"['moo-deng', 'moo-deng-2']",fms_latest
MSUSD,2,main-street-usd,57975019,435,"['metronome-synth-usd', 'main-street-usd']",fms_latest
MUSD,3,metamask-usd,32747352,632,"['metamask-usd', 'meta-usd', 'musd']",fms_latest
MYST,2,mysterium,5476767,1583,"['mysterium', 'mystandard']",fms_latest
NEX,2,nexora,5061133,1636,"['neon-exchange', 'nexora']",fms_latest
