date,strategy_return,btc_return,strategy_cumulative,btc_cumulative,w_BTC,w_ETH,w_SOL,w_BNB
2024-11-26,-0.05112673333034734,-0.05112673333034734,1.1113590551394388,2.1158532512319037,1.0,0.0,0.0,0.0
2024-11-27,-0.01602464430285011,-0.011535655159089053,1.0935499215880777,2.091445497758455,0.0,0.0,1.0,0.0
2024-11-28,0.050644289562369105,0.04404730945900237,1.1489319804678904,2.183568044814859,0.0,0.0,1.0,0.0
2024-11-29,-0.02371610309099903,-0.003329659127156104,1.1216837911745683,2.176297507544675,0.0,1.0,0.0,0.0
2024-11-30,0.005295127126032639,0.01872905599138197,1.127623249444048,2.2170575054173844,0.0,1.0,0.0,0.0
2024-12-01,0.031047836485874614,-0.009646728290057194,1.1626335117104574,2.195670154059191,0.0,1.0,0.0,0.0
2024-12-02,-0.0002970963003604554,0.008274156497671603,1.162288097595453,2.2138374725311434,0.0,1.0,0.0,0.0
2024-12-03,-0.017512871080396897,-0.01519417348117258,1.1419330959839842,2.1802000419143845,0.0,1.0,0.0,0.0
2024-12-04,-0.004979593283393591,0.002071253799785344,1.1362467336091375,2.184715789535492,0.0,1.0,0.0,0.0
2024-12-05,-0.004854166101233681,0.029676039546269628,1.1307312032322145,2.2495495017031066,0.0,0.0,0.0,1.0
2024-12-06,-0.011088740853031132,-0.016989726197883193,1.1181928179451364,2.2113302716005863,0.0,1.0,0.0,0.0
2024-12-07,0.017755970355058492,0.02852169083951117,1.1380474164718095,2.2744011499512307,0.0,0.0,0.0,1.0
2024-12-08,-0.00317263022569525,-0.0019207173848239112,1.1344368128400366,2.2700326681224556,0.0,1.0,0.0,0.0
2024-12-09,0.003696569362771962,0.014567198363335976,1.1386303372063817,2.303100684290248,0.0,1.0,0.0,0.0
2024-12-10,-0.07531985591758927,-0.03834059804440537,1.052868864264601,2.214798426698081,0.0,1.0,0.0,0.0
2024-12-11,-0.02335521816953079,-0.007233733835508183,1.028278882235795,2.198777164380045,0.0,1.0,0.0,0.0
2024-12-12,0.0522172371073375,0.04628987956416686,1.0819727644419697,2.3005582945076375,0.0,0.0,0.0,1.0
2024-12-13,-0.007050969296875653,-0.011103338329527479,1.0743438076998337,2.2750144174169185,0.0,0.0,0.0,1.0
2024-12-14,0.007368072326418007,0.013514104232373425,1.0822596505784055,2.305759199384043,0.0,1.0,0.0,0.0
2024-12-15,-0.015580709287604133,0.00014583727119332757,1.0653972775890392,2.30609546501371,0.0,0.0,0.0,1.0
2024-12-16,0.009937246862248728,0.03309253031330206,1.0759843933428093,2.382409999095045,0.0,0.0,0.0,1.0
2024-12-17,-0.0025953051852853903,0.012916217755799098,1.0731918854674805,2.41318172542695,0.0,0.0,0.0,1.0
2024-12-18,-0.006980774719218763,-0.00036949481629566794,1.0657001746845383,2.4122900672886254,0.0,0.0,0.0,1.0
2024-12-19,-0.05356101186152562,-0.05356101186152562,1.0086201949874298,2.283085370381139,1.0,0.0,0.0,0.0
2024-12-20,-0.024953495097224887,-0.024953495097224887,0.9834515958968489,2.2261144107847874,1.0,0.0,0.0,0.0
2024-12-21,-0.0016343100802281851,-0.0016343100802281851,0.9818443310402583,2.2224762495635004,1.0,0.0,0.0,0.0
2024-12-22,-0.005001557729872985,-0.005001557729872985,0.9769335799368118,2.211360406298037,1.0,0.0,0.0,0.0
2024-12-23,-0.02169228127411338,-0.02169228127411338,0.955741661934696,2.1633909543661822,1.0,0.0,0.0,0.0
2024-12-24,-0.004725448497785556,-0.004725448497785556,0.9512253539340356,2.1531679618307495,1.0,0.0,0.0,0.0
2024-12-25,0.042800010234085084,0.042800010234085084,0.9919378088173335,2.2453235726328096,1.0,0.0,0.0,0.0
2024-12-26,0.0065782002022376496,0.0065782002022376496,0.9984629743119029,2.2600937606123916,1.0,0.0,0.0,0.0
2024-12-27,0.0,-0.03690818279112906,0.9984629743119029,2.1766778069706194,0.0,0.0,0.0,0.0
2024-12-28,0.0,-0.01407179057310426,0.9984629743119029,2.146048052725805,0.0,0.0,0.0,0.0
2024-12-29,0.0,0.009039060541280897,0.9984629743119029,2.1654463109988917,0.0,0.0,0.0,0.0
2024-12-30,0.0,-0.015981278719071734,0.9984629743119029,2.130839709951633,0.0,0.0,0.0,0.0
2024-12-31,0.0,-0.01106264413650393,0.9984629743119029,2.1072669885285067,0.0,0.0,0.0,0.0
2025-01-01,0.0,0.009506665811866322,0.9984629743119029,2.127300071564825,0.0,0.0,0.0,0.0
2025-01-02,0.0,0.009371590577636146,0.9984629743119029,2.147236256871307,0.0,0.0,0.0,0.0
2025-01-03,0.0,0.026148140488575944,0.9984629743119029,2.2033824921781417,0.0,0.0,0.0,0.0
2025-01-04,0.0,0.012722443652634308,0.9984629743119029,2.231414901780079,0.0,0.0,0.0,0.0
2025-01-05,0.0014560143906403589,0.0017576299211787827,0.9999167507710226,2.235336903378012,0.0,0.0,0.0,1.0
2025-01-06,-0.006699496499133817,0.0010976417378674164,0.9932178119998069,2.237790502461355,0.0,0.0,0.0,1.0
2025-01-07,0.023297176876285963,0.03929061349089458,1.016356983042644,2.325714664167159,0.0,0.0,1.0,0.0
2025-01-08,-0.07292537203074578,-0.05162209644605942,0.9422387719382128,2.205656397467507,0.0,0.0,1.0,0.0
2025-01-09,-0.024892166001252103,-0.019962274983833184,0.9187844080143109,2.16162647794141,0.0,0.0,1.0,0.0
2025-01-10,-0.06300735526951895,-0.02778920154026998,0.8608942324024585,2.1015566040911122,0.0,0.0,1.0,0.0
2025-01-11,0.010853309538964684,0.02555148428118903,0.8702377839870318,2.1552544946265755,0.0,0.0,0.0,1.0
2025-01-12,0.0012945046644805558,-0.0018691299864076472,0.8713643108576102,2.151226043822329,0.0,0.0,1.0,0.0
2025-01-13,0.001747774350113307,-0.0011080929848023002,0.8728872590497313,2.1488422853344455,0.0,0.0,1.0,0.0
2025-01-14,0.0,1.6711472552000117e-05,0.8728872590497313,2.1488781956533156,0.0,0.0,0.0,0.0
2025-01-15,0.0,0.022420179557139264,0.8728872590497313,2.1970564306462843,0.0,0.0,0.0,0.0
2025-01-16,0.0,0.03871716717163309,0.8728872590497313,2.282120231757128,0.0,0.0,0.0,0.0
2025-01-17,0.0,-0.0026773471284613493,0.8728872590497313,2.2760102037078296,0.0,0.0,0.0,0.0
2025-01-18,0.0,0.041142802010911694,0.8728872590497313,2.3696516408937955,0.0,0.0,0.0,0.0
2025-01-19,0.001669748601087706,0.001669748601087706,0.8743447613294368,2.3736083634062433,1.0,0.0,0.0,0.0
2025-01-20,-0.040320792930516935,-0.029321798780760466,0.8390904872579904,2.3040098965901152,0.0,0.0,1.0,0.0
2025-01-21,-0.03771558971786504,0.004834063922663168,0.8074436947044046,2.31514762770868,0.0,0.0,1.0,0.0
2025-01-22,0.032692446751682036,0.04340718504219265,0.8338410046985097,2.415641669184624,0.0,0.0,1.0,0.0
2025-01-23,0.022826988773932744,-0.023626378572642937,0.8528750839520074,2.358568804612617,0.0,0.0,1.0,0.0
2025-01-24,-0.010227084983846724,0.0038011129487294237,0.8441526579878248,2.367533991036299,0.0,0.0,1.0,0.0
2025-01-25,0.0005181464060084462,0.007375807171305704,0.8445900526536837,2.3849964652256945,0.0,0.0,1.0,0.0
2025-01-26,0.013594488310391561,-0.00037346006842065016,0.8560718222515572,2.3841057642826082,0.0,0.0,1.0,0.0
2025-01-27,-0.062265980740057625,-0.02141103822182311,0.8027676706551357,2.3330595846386846,0.0,0.0,1.0,0.0
2025-01-28,-0.025255058465064373,-0.005790016431870826,0.7824937261988767,2.319551131307093,0.0,0.0,1.0,0.0
2025-01-29,-0.03442727190145789,-0.006329605528613502,0.755554601925843,2.30486928764247,0.0,0.0,1.0,0.0
2025-01-30,0.007603202174482959,0.023746844710855086,0.7612992363181462,2.359602660694935,0.0,0.0,1.0,0.0
2025-01-31,0.04563425665822729,0.010244355642907044,0.7960405610620009,2.3837752695270438,0.0,0.0,1.0,0.0
2025-02-01,-0.03153927072441354,-0.02289639968370427,0.7709340222990525,2.329195398199823,0.0,0.0,1.0,0.0
2025-02-02,-0.07362238799027132,-0.016678712065968604,0.7141760185944511,2.290347418807869,0.0,0.0,1.0,0.0
2025-02-03,-0.0308564951411483,-0.0308564951411483,0.6921390497467668,2.2196753248078824,1.0,0.0,0.0,0.0
2025-02-04,0.0399570708411936,0.0399570708411936,0.7197948987894548,2.3083670490056805,1.0,0.0,0.0,0.0
2025-02-05,-0.033000148295620035,-0.033000148295620035,0.696041560386972,2.23219059406777,1.0,0.0,0.0,0.0
2025-02-06,-0.01564998790964922,-0.01564998790964922,0.6851485183823025,2.197256838258577,1.0,0.0,0.0,0.0
2025-02-07,0.0,0.0005439050939168855,0.6851485183823025,2.1984519374455496,0.0,0.0,0.0,0.0
2025-02-08,0.0,-0.0007964206566111187,0.6851485183823025,2.196701044910001,0.0,0.0,0.0,0.0
2025-02-09,0.0,-2.2647903057393393e-06,0.6851485183823025,2.19669606984277,0.0,0.0,0.0,0.0
2025-02-10,0.0,-0.00010003259641677698,0.6851485183823025,2.196476328631365,0.0,0.0,0.0,0.0
2025-02-11,0.0,0.008818389373592916,0.6851485183823025,2.2158457121471162,0.0,0.0,0.0,0.0
2025-02-12,0.0,-0.017043167930165692,0.6851485183823025,2.178080681567655,0.0,0.0,0.0,0.0
