asset,system,rule,event_kind,n_events,p_confirm,cost_of_waiting_per_confirmed,loss_avoided_per_failed,expected_value_per_signal,ev_ci_lo,ev_ci_hi,breakeven_p_confirm,total_cost_of_waiting,total_loss_avoided,net_per_year,left_tail_p05,worst,best
SOL,GERHARD_SMA120,M3_linear,to_short,26,0.5769230769230769,0.013255229273159972,0.023931336987915195,-0.002477548760371831,-0.011394366587045401,0.006949370186244291,0.6435479097451703,0.19882843909739958,0.26324470686706714,-0.014595559431061465,-0.033044506900963076,-0.08579503761575327,0.04169423806282491
SOL,LL3_k0.30,M1_1close,all,41,1.0,0.003157613032574617,,,-0.007819858632956509,0.016117729240183815,,0.1294621343355593,-0.0,0.027996473988195995,-0.043775070945715866,-0.05261339948359667,0.16852171644479075
SOL,LL3_k0.30,M1_1close,to_long,10,1.0,0.016503893790387015,,,-0.021527885515080145,0.06471404125997171,,0.16503893790387014,-0.0,0.046085987820633466,-0.04863615164155031,-0.05261339948359667,0.16852171644479075
SOL,LL3_k0.30,M1_1close,to_neutral,20,1.0,-0.0017788401784155417,,,-0.011534810465525382,0.008046966512815912,,-0.03557680356831083,-0.0,-0.00833510423561612,-0.03897814009841991,-0.051736095584407726,0.06219086284139974
SOL,LL3_k0.30,M1_1close,to_short,11,1.0,0.0,,,0.0,0.0,,0.0,-0.0,0.0,0.0,0.0,0.0
SOL,LL3_k0.30,M2_2close,all,41,1.0,-0.0008386387967156297,,,-0.011879543122556527,0.009292707571572615,,-0.03438419066534082,-0.0,-0.007435657572833472,-0.0609917155884786,-0.11262614590555442,0.08391866913123835
SOL,LL3_k0.30,M2_2close,to_long,10,1.0,0.009759697914162457,,,-0.015974925040388825,0.0403890579033442,,0.09759697914162457,-0.0,0.02725328488645136,-0.04961916188973274,-0.07055012149781636,0.08391866913123835
SOL,LL3_k0.30,M2_2close,to_neutral,20,1.0,-0.0065990584903482695,,,-0.023050171958064403,0.0069209293524838825,,-0.1319811698069654,-0.0,-0.030921181701086663,-0.06357343710433239,-0.11262614590555442,0.0512308287150407
SOL,LL3_k0.30,M2_2close,to_short,11,1.0,0.0,,,0.0,0.0,,0.0,-0.0,0.0,0.0,0.0,0.0
SOL,LL3_k0.30,M3_linear,all,41,1.0,0.0007731290224504905,,,-0.005890423716105334,0.007884800854665556,,0.03169828992047011,-0.0,0.006854825573387629,-0.033099093330446805,-0.054790305238539214,0.08414679519200963
SOL,LL3_k0.30,M3_linear,to_long,10,1.0,0.008754838715038283,,,-0.010876131290828882,0.03419032307785936,,0.08754838715038282,-0.0,0.024447284714585113,-0.028379409220341746,-0.03449312719446173,0.08414679519200963
SOL,LL3_k0.30,M3_linear,to_neutral,20,1.0,-0.0027925048614956373,,,-0.010908696057218583,0.004160349277094287,,-0.05585009722991274,-0.0,-0.013084828744852872,-0.034183653925851425,-0.054790305238539214,0.025851574093367916
SOL,LL3_k0.30,M3_linear,to_short,11,1.0,0.0,,,0.0,0.0,,0.0,-0.0,0.0,0.0,0.0,0.0
SOL,LL2_k0.30,M1_1close,all,14,1.0,0.009221472924461857,,,-0.015335473062712856,0.040839539016922395,,0.129100620942466,-0.0,0.027918295914289935,-0.0403028304238265,-0.05261339948359667,0.16852171644479075
SOL,LL2_k0.30,M1_1close,to_long,7,1.0,0.01348170545543719,,,-0.027124982588908268,0.06772284697092369,,0.09437193818806033,-0.0,0.02635271439081731,-0.046708157664188385,-0.05261339948359667,0.16852171644479075
