asset,window,model,Sharpe,CAGR,MaxDD,dSharpe_vs_M0,dCAGR_vs_M0
SOL,2019+ (walk-forward span),M5_brk0.5_up,0.5448561911742806,0.1620762071188231,-0.6899401156826143,-0.03610731005974899,-0.02526647667100468
SOL,2019+ (walk-forward span),FAST_down,0.49922882990195583,0.13299498964962786,-0.6976886706098205,-0.0817346713320738,-0.05434769414019991
SOL,2019+ (walk-forward span),M5_brk0.5_down,0.4757016894181581,0.11753515346243582,-0.7031101123526142,-0.10526181181587152,-0.06980753032739195
SOL,2019-2021,M0_3close,0.7147620550418637,0.28916737646292456,-0.40026201582142773,0.0,0.0
SOL,2019-2021,M1_1close,0.2685929045368313,-0.020796778140530048,-0.4262633888876214,-0.4461691505050324,-0.3099641546034546
SOL,2019-2021,FAST_both,0.2685929045368313,-0.020796778140530048,-0.4262633888876214,-0.4461691505050324,-0.3099641546034546
SOL,2019-2021,M5_brk0.5_both,0.37241174470747335,0.04287748109473344,-0.41664849856010644,-0.3423503103343904,-0.24628989536819113
SOL,2019-2021,FAST_up,0.7147620550418637,0.28916737646292456,-0.40026201582142773,0.0,0.0
SOL,2019-2021,M5_brk0.5_up,0.7147620550418637,0.28916737646292456,-0.40026201582142773,0.0,0.0
SOL,2019-2021,FAST_down,0.2685929045368313,-0.020796778140530048,-0.4262633888876214,-0.4461691505050324,-0.3099641546034546
SOL,2019-2021,M5_brk0.5_down,0.37241174470747335,0.04287748109473344,-0.41664849856010644,-0.3423503103343904,-0.24628989536819113
SOL,2022+,M0_3close,0.564151889086343,0.17613673783109096,-0.692182934354044,0.0,0.0
SOL,2022+,M1_1close,0.5509845130008384,0.1670271613735992,-0.639735640217475,-0.013167376085504556,-0.009109576457491775
SOL,2022+,FAST_both,0.5509845130008384,0.1670271613735992,-0.639735640217475,-0.013167376085504556,-0.009109576457491775
SOL,2022+,M5_brk0.5_both,0.4487311738719755,0.09977499067643048,-0.7016094019532014,-0.11542071521436748,-0.07636174715466049
SOL,2022+,FAST_up,0.5862657991559518,0.19126694240623543,-0.6331744552585126,0.022113910069608833,0.015130204575144468
SOL,2022+,M5_brk0.5_up,0.5237692937610883,0.14825868074767623,-0.6899401156826137,-0.04038259532525468,-0.02787805708341473
SOL,2022+,FAST_down,0.5278481266352201,0.15220482469340335,-0.6976886706098204,-0.03630376245112288,-0.02393191313768761
SOL,2022+,M5_brk0.5_down,0.48845749950905165,0.1264759340117998,-0.703110112352614,-0.0756943895772913,-0.049660803819291166
SOL,2024+,M0_3close,0.09011208834334503,-0.10394346912530816,-0.6921829343540439,0.0,0.0
SOL,2024+,M1_1close,0.20754657010516903,-0.04058025950132871,-0.6397356402174749,0.117434481761824,0.06336320962397946
SOL,2024+,FAST_both,0.20754657010516903,-0.04058025950132871,-0.6397356402174749,0.117434481761824,0.06336320962397946
SOL,2024+,M5_brk0.5_both,0.058036005484047436,-0.11761303001485701,-0.7016094019532018,-0.03207608285929759,-0.013669560889548849
SOL,2024+,FAST_up,0.2584517620151683,-0.0167656722640952,-0.6331744552585123,0.16833967367182326,0.08717779686121296
