feature,bucket,n_events,p_confirm,cost_of_waiting_per_confirmed,loss_avoided_per_failed,expected_value_per_signal,ev_ci_lo,ev_ci_hi,breakeven_p_confirm,total_cost_of_waiting,total_loss_avoided,net_per_year,left_tail_p05,worst,best,asset,system,rule
ret_z20,<0.5,11,0.09090909090909091,0.1010927908438487,0.036933713819195246,-0.02438584975891852,-0.059373963192533914,0.013680881135580126,0.2675842144185232,0.1010927908438487,0.36933713819195246,-0.030531707032999345,-0.08867413384628098,-0.11238339629890515,0.1010927908438487,ETH,GERHARD_SMA120,M1_1close
ret_z20,0.5-1,18,0.5555555555555556,0.01622153814794629,0.08913635915182312,-0.030604193985284557,-0.08095659585009737,0.0004416090795481043,0.8460339607785453,0.1622153814794629,0.713090873214585,-0.05912643942293662,-0.23347613340055662,-0.26464150598658076,0.0603842379747771,ETH,GERHARD_SMA120,M1_1close
ret_z20,1-1.5,12,0.5,0.01830181139354664,0.032531328669263095,-0.007114758637858227,-0.030165274333148598,0.018370372190047574,0.6399629971523929,0.10981086836127985,0.19518797201557858,-0.009179860791796472,-0.0665742918610818,-0.10829447951150728,0.07492765710546145,ETH,GERHARD_SMA120,M1_1close
ret_z20,1.5-2,11,0.6363636363636364,0.017336924551761185,0.011263917205682678,0.006936618458145234,-0.034328911082319266,0.0405039109364752,0.39383166765541255,0.12135847186232829,0.04505566882273071,0.00881670319842234,-0.11383427149974867,-0.15664914000152552,0.07448146695423796,ETH,GERHARD_SMA120,M1_1close
ret_z20,2-2.5,7,0.8571428571428571,0.017598990270417725,0.13519166369583202,-0.004228246010475103,-0.05319166785570408,0.03037516231215379,0.8848163168782222,0.10559394162250635,0.13519166369583202,-0.005595532084514597,-0.0940244974720622,-0.13519166369583202,0.04989534741453805,ETH,GERHARD_SMA120,M1_1close
ret_z20,2.5-3,3,0.6666666666666666,-0.017461200415369804,0.06115150066011521,-0.03202463383028494,,,1.399658512703168,-0.03492240083073961,0.06115150066011521,-0.04248304179120427,-0.05787476850171781,-0.06115150066011521,-0.0065382217545983945,ETH,GERHARD_SMA120,M1_1close
ret_z20,>3,12,0.75,-0.02416971470295833,0.08332051221414838,-0.03895741408075584,-0.10776021259974357,0.015790887489077858,1.4086118145471485,-0.21752743232662497,0.24996153664244514,-0.04753628783851694,-0.22336479065740766,-0.30279227421412924,0.11455256865985108,ETH,GERHARD_SMA120,M1_1close
brk_vol,<0.5,39,0.358974358974359,0.03084737008877563,0.04759499432767837,-0.01943619684484873,-0.04516337331758039,0.00023192222417418743,0.6067511437441436,0.43186318124285883,1.1898748581919594,-0.08116791703478715,-0.1239426928457875,-0.26464150598658076,0.1010927908438487,ETH,GERHARD_SMA120,M1_1close
brk_vol,0.5-1,16,0.8125,0.025840880628605713,0.03611079050126087,0.014224942291755728,-0.008209546996716633,0.03392759850341216,0.582886463636524,0.33593144817187426,0.10833237150378261,0.026390654842228724,-0.0400996405040418,-0.10829447951150728,0.08657166248395098,ETH,GERHARD_SMA120,M1_1close
brk_vol,1-1.5,9,0.6666666666666666,-0.018378276383631115,0.12152991148038887,-0.05276215474921704,-0.10408055715827515,-0.004282053598865054,1.1781675721028757,-0.1102696583017867,0.3645897344411666,-0.05074382480964415,-0.15768685664902787,-0.15837866774736276,0.042398343518904924,ETH,GERHARD_SMA120,M1_1close
