feature,threshold,window,n,CAGR,AnnVol,Sharpe,Sortino,MaxDD,Calmar,WorstDay,Skew,Trades,Whipsaws,WhipsawsPerYr,TurnoverPerYr,Exposure,UpCapture,DownCapture,WorstMonth,M0_sharpe,asset,system,exposure
range_breakout_20,1.75,validation_2022-23,730,0.6755131118307103,0.5911992343844881,1.1586439812685518,1.4032103071147088,-0.42736435015011354,1.580649185158831,-0.11838140335772707,1.911007666871216,4,1,0.5,3.5,0.35342465753424657,0.46843657939171274,0.18181007087690973,-0.19845034343601942,1.184574685993763,SOL,GERHARD_SMA120,long_flat
range_breakout_20,1.75,test_2024+,988,-0.07234807517662589,0.5713573558827831,0.15218564276639052,0.18643886233223564,-0.6921829343540439,-0.10452161066950064,-0.1457268244129757,0.46565858018972917,12,7,2.5860323886639676,8.12753036437247,0.4949392712550607,0.6211203864467431,0.672267170263829,-0.3741476430477325,0.09011208834334503,SOL,GERHARD_SMA120,long_flat
range_breakout_20,2.0,full,1737,0.18943918416091865,0.5845860966346622,0.5837157164919737,0.7120502816240901,-0.6921829343540444,0.27368369654722297,-0.1457268244129757,1.0690028148463875,16,9,1.8911917098445596,6.303972366148532,0.44041450777202074,0.5329726111965051,0.3991293176299503,-0.3741476430477325,0.5601557659177164,SOL,GERHARD_SMA120,long_flat
range_breakout_20,2.0,validation_2022-23,730,0.6755131118307103,0.5911992343844881,1.1586439812685518,1.4032103071147088,-0.42736435015011354,1.580649185158831,-0.11838140335772707,1.911007666871216,4,1,0.5,3.5,0.35342465753424657,0.46843657939171274,0.18181007087690973,-0.19845034343601942,1.184574685993763,SOL,GERHARD_SMA120,long_flat
range_breakout_20,2.0,test_2024+,988,-0.07234807517662589,0.5713573558827831,0.15218564276639052,0.18643886233223564,-0.6921829343540439,-0.10452161066950064,-0.1457268244129757,0.46565858018972917,12,7,2.5860323886639676,8.12753036437247,0.4949392712550607,0.6211203864467431,0.672267170263829,-0.3741476430477325,0.09011208834334503,SOL,GERHARD_SMA120,long_flat
range_breakout_20,2.25,full,1737,0.18943918416091865,0.5845860966346622,0.5837157164919737,0.7120502816240901,-0.6921829343540444,0.27368369654722297,-0.1457268244129757,1.0690028148463875,16,9,1.8911917098445596,6.303972366148532,0.44041450777202074,0.5329726111965051,0.3991293176299503,-0.3741476430477325,0.5601557659177164,SOL,GERHARD_SMA120,long_flat
range_breakout_20,2.25,validation_2022-23,730,0.6755131118307103,0.5911992343844881,1.1586439812685518,1.4032103071147088,-0.42736435015011354,1.580649185158831,-0.11838140335772707,1.911007666871216,4,1,0.5,3.5,0.35342465753424657,0.46843657939171274,0.18181007087690973,-0.19845034343601942,1.184574685993763,SOL,GERHARD_SMA120,long_flat
range_breakout_20,2.25,test_2024+,988,-0.07234807517662589,0.5713573558827831,0.15218564276639052,0.18643886233223564,-0.6921829343540439,-0.10452161066950064,-0.1457268244129757,0.46565858018972917,12,7,2.5860323886639676,8.12753036437247,0.4949392712550607,0.6211203864467431,0.672267170263829,-0.3741476430477325,0.09011208834334503,SOL,GERHARD_SMA120,long_flat
range_breakout_20,2.5,full,1737,0.18943918416091865,0.5845860966346622,0.5837157164919737,0.7120502816240901,-0.6921829343540444,0.27368369654722297,-0.1457268244129757,1.0690028148463875,16,9,1.8911917098445596,6.303972366148532,0.44041450777202074,0.5329726111965051,0.3991293176299503,-0.3741476430477325,0.5601557659177164,SOL,GERHARD_SMA120,long_flat
range_breakout_20,2.5,validation_2022-23,730,0.6755131118307103,0.5911992343844881,1.1586439812685518,1.4032103071147088,-0.42736435015011354,1.580649185158831,-0.11838140335772707,1.911007666871216,4,1,0.5,3.5,0.35342465753424657,0.46843657939171274,0.18181007087690973,-0.19845034343601942,1.184574685993763,SOL,GERHARD_SMA120,long_flat
range_breakout_20,2.5,test_2024+,988,-0.07234807517662589,0.5713573558827831,0.15218564276639052,0.18643886233223564,-0.6921829343540439,-0.10452161066950064,-0.1457268244129757,0.46565858018972917,12,7,2.5860323886639676,8.12753036437247,0.4949392712550607,0.6211203864467431,0.672267170263829,-0.3741476430477325,0.09011208834334503,SOL,GERHARD_SMA120,long_flat
range_breakout_20,2.75,full,1737,0.18943918416091865,0.5845860966346622,0.5837157164919737,0.7120502816240901,-0.6921829343540444,0.27368369654722297,-0.1457268244129757,1.0690028148463875,16,9,1.8911917098445596,6.303972366148532,0.44041450777202074,0.5329726111965051,0.3991293176299503,-0.3741476430477325,0.5601557659177164,SOL,GERHARD_SMA120,long_flat
range_breakout_20,2.75,validation_2022-23,730,0.6755131118307103,0.5911992343844881,1.1586439812685518,1.4032103071147088,-0.42736435015011354,1.580649185158831,-0.11838140335772707,1.911007666871216,4,1,0.5,3.5,0.35342465753424657,0.46843657939171274,0.18181007087690973,-0.19845034343601942,1.184574685993763,SOL,GERHARD_SMA120,long_flat
range_breakout_20,2.75,test_2024+,988,-0.07234807517662589,0.5713573558827831,0.15218564276639052,0.18643886233223564,-0.6921829343540439,-0.10452161066950064,-0.1457268244129757,0.46565858018972917,12,7,2.5860323886639676,8.12753036437247,0.4949392712550607,0.6211203864467431,0.672267170263829,-0.3741476430477325,0.09011208834334503,SOL,GERHARD_SMA120,long_flat
range_breakout_20,3.0,full,1737,0.18943918416091865,0.5845860966346622,0.5837157164919737,0.7120502816240901,-0.6921829343540444,0.27368369654722297,-0.1457268244129757,1.0690028148463875,16,9,1.8911917098445596,6.303972366148532,0.44041450777202074,0.5329726111965051,0.3991293176299503,-0.3741476430477325,0.5601557659177164,SOL,GERHARD_SMA120,long_flat
range_breakout_20,3.0,validation_2022-23,730,0.6755131118307103,0.5911992343844881,1.1586439812685518,1.4032103071147088,-0.42736435015011354,1.580649185158831,-0.11838140335772707,1.911007666871216,4,1,0.5,3.5,0.35342465753424657,0.46843657939171274,0.18181007087690973,-0.19845034343601942,1.184574685993763,SOL,GERHARD_SMA120,long_flat
range_breakout_20,3.0,test_2024+,988,-0.07234807517662589,0.5713573558827831,0.15218564276639052,0.18643886233223564,-0.6921829343540439,-0.10452161066950064,-0.1457268244129757,0.46565858018972917,12,7,2.5860323886639676,8.12753036437247,0.4949392712550607,0.6211203864467431,0.672267170263829,-0.3741476430477325,0.09011208834334503,SOL,GERHARD_SMA120,long_flat
move_atr,0.5,full,1737,0.1169448348280615,0.5828282009792572,0.47609489297347946,0.5661567882214108,-0.6388001336782996,0.18306952153356162,-0.1457268244129757,1.0360398034205276,29,21,4.412780656303973,11.767415083477259,0.43580886586067935,0.5551364513569624,0.4714148135480767,-0.3741476430477325,0.5601557659177164,SOL,GERHARD_SMA120,long_flat
move_atr,0.5,validation_2022-23,730,0.48614450130272524,0.6013527122385858,0.9496822923182586,1.1252029042219598,-0.5454206488801352,0.8913203090144891,-0.11838140335772707,1.8017072723274024,10,6,3.0,9.5,0.3561643835616438,0.4948171671350346,0.27116066362326746,-0.20286861490723207,1.184574685993763,SOL,GERHARD_SMA120,long_flat
move_atr,0.5,test_2024+,988,-0.053091166232291265,0.5650888080757325,0.18411622625514515,0.22067623968087757,-0.6388001336782992,-0.08311076255821208,-0.1457268244129757,0.44213970198923114,18,13,4.802631578947368,12.560728744939272,0.4888663967611336,0.6375247011479089,0.6793930891219438,-0.3741476430477325,0.09011208834334503,SOL,GERHARD_SMA120,long_flat
move_atr,0.75,full,1737,0.13755228752424897,0.5841927439196173,0.5076293302412299,0.6066628628158435,-0.6333874692288435,0.21716925927145428,-0.1457268244129757,1.0295139489350036,27,20,4.202648244099021,10.926885434657455,0.4392630972941854,0.5551364513569624,0.4575847425621671,-0.3741476430477325,0.5601557659177164,SOL,GERHARD_SMA120,long_flat
move_atr,0.75,validation_2022-23,730,0.5407180804671707,0.6039695879807249,1.007912044045379,1.205374668929148,-0.5114219130772533,1.057283754647197,-0.11838140335772707,1.7795467611633706,8,5,2.5,7.5,0.36164383561643837,0.4948171671350346,0.24978860626554525,-0.18670732315354976,1.184574685993763,SOL,GERHARD_SMA120,long_flat
move_atr,0.75,test_2024+,988,-0.04787360552672881,0.5654697170665259,0.19408775202520606,0.23307490122323576,-0.633387469228842,-0.07558344276216197,-0.1457268244129757,0.44060622474509215,18,13,4.802631578947368,12.560728744939272,0.4908906882591093,0.6375247011479089,0.6748900696130411,-0.3741476430477325,0.09011208834334503,SOL,GERHARD_SMA120,long_flat
move_atr,1.0,full,1737,0.21518114926205945,0.5883022367409751,0.6201246175634287,0.7525916919876231,-0.6406682943836466,0.3358698270983957,-0.1457268244129757,1.0529561529287255,23,16,3.3621185952792167,9.245826137017847,0.4432930339666091,0.5676178567571115,0.41774706561393893,-0.3741476430477325,0.5601557659177164,SOL,GERHARD_SMA120,long_flat
move_atr,1.0,validation_2022-23,730,0.6105424448687784,0.6009213287234191,1.0836775161476397,1.3045228192941698,-0.4972310263349794,1.2278848513718092,-0.11838140335772707,1.8233476566985327,7,4,2.0,6.5,0.36027397260273974,0.4948171671350346,0.22198919462169925,-0.18670732315354976,1.184574685993763,SOL,GERHARD_SMA120,long_flat
move_atr,1.0,test_2024+,988,-0.01820531478693732,0.5711860352709894,0.25129228129145686,0.306701865111417,-0.640668294383646,-0.028416131946176166,-0.1457268244129757,0.4703551164136717,16,12,4.433198380566802,11.082995951417004,0.49696356275303644,0.6670540731994219,0.6754275427846568,-0.3741476430477325,0.09011208834334503,SOL,GERHARD_SMA120,long_flat
move_atr,1.25,full,1737,0.2375447803905455,0.5888253697162605,0.6510688626630118,0.7946396540019054,-0.6300606864013392,0.3770188896363438,-0.1457268244129757,1.0503755615240096,17,9,1.8911917098445596,6.7242371905584335,0.44559585492227977,0.5706283390760044,0.4078212479209508,-0.3741476430477325,0.5601557659177164,SOL,GERHARD_SMA120,long_flat
move_atr,1.25,validation_2022-23,730,0.6756995424634362,0.600454585517877,1.150163909660476,1.3822996627554125,-0.48126949940246044,1.403994109957889,-0.11838140335772707,1.8277014426555338,5,2,1.0,4.5,0.36027397260273974,0.5016792253845848,0.2088657072216746,-0.16259663368999788,1.184574685993763,SOL,GERHARD_SMA120,long_flat
move_atr,1.25,test_2024+,988,-0.01549389982654481,0.572457596182947,0.25681464076288235,0.3168460618206913,-0.6300606864013392,-0.024591122983787357,-0.1457268244129757,0.46765944354786537,12,7,2.5860323886639676,8.12753036437247,0.5010121457489879,0.6648038067551784,0.6694268845540565,-0.3741476430477325,0.09011208834334503,SOL,GERHARD_SMA120,long_flat
