asset,system,dimension,level,n,p_confirm,p_valid_10d,fwd_10d_mean,incr_m1_mean,incr_m1_sum
SOL,LL3_k0.30,liquidity_regime,low,20,1.0,0.85,-0.005216652543210315,0.007608391352733057,0.15216782705466114
SOL,LL3_k0.30,weekend,0,33,1.0,0.9393939393939394,-0.002762240440603012,0.001907438590353714,0.06294547348167256
SOL,LL3_k0.30,weekend,1,8,1.0,0.75,-0.09341650871401286,0.008314582606735843,0.06651666085388674
SOL,LL3_k0.30,macro_risk_on,0.0,11,1.0,0.8181818181818182,-0.0040935263759767785,-0.010926819383007809,-0.1201950132130859
SOL,LL3_k0.30,macro_risk_on,1.0,30,1.0,0.9333333333333333,-0.026448573803875258,0.008321904918288174,0.2496571475486452
SOL,LL2_k0.30,vol_regime,low,9,1.0,1.0,0.015018606027029917,0.017644850128636813,0.15880365115773132
SOL,LL2_k0.30,bull_env,bear,7,1.0,1.0,0.017311097509368847,0.03373589291353344,0.23615125039473406
SOL,LL2_k0.30,bull_env,bull,7,1.0,0.8571428571428571,-0.04144059412538503,-0.015292947064609723,-0.10705062945226806
SOL,LL2_k0.30,liquidity_regime,high,7,1.0,0.8571428571428571,-0.04144059412538503,-0.015292947064609723,-0.10705062945226806
SOL,LL2_k0.30,liquidity_regime,low,7,1.0,1.0,0.017311097509368847,0.03373589291353344,0.23615125039473406
SOL,LL2_k0.30,weekend,0,11,1.0,0.9090909090909091,-0.0001944509081493916,0.010201187877708184,0.11221306665479003
SOL,LL2_k0.30,macro_risk_on,1.0,13,1.0,1.0,0.009389170903337045,0.009163489741739929,0.11912536664261908
